World,"9,732,831","30,445","492,242","1,253","5,265,686","3,974,903","57,450","1,249",63,,,,
1,USA,"2,504,676",88,"126,785",5,"1,052,389","1,325,502","15,723","7,568",383,"30,733,966","92,859","330,975,810"
2,Brazil,"1,233,147",,"55,054",,"673,729","504,364","8,318","5,802",259,"2,859,064","13,452","212,537,568"
3,Russia,"620,794","6,800","8,781",176,"384,152","227,861","2,300","4,254",60,"18,402,719","126,103","145,933,767"
4,India,"491,741",571,"15,319",11,"285,983","190,439","8,944",356,11,"7,776,228","5,636","1,379,789,304"
5,UK,"307,980",,"43,230",,N/A,N/A,311,"4,537",637,"8,710,292","128,317","67,881,190"
6,Spain,"294,566",,"28,330",,N/A,N/A,617,"6,300",606,"5,162,909","110,426","46,754,577"
7,Peru,"268,602",,"8,761",,"156,074","103,767","1,144","8,148",266,"1,583,605","48,041","32,963,598"
8,Chile,"259,064",,"4,903",,"219,327","34,834","2,078","13,554",257,"1,025,081","53,631","19,113,705"
9,Italy,"239,706",,"34,678",,"186,725","18,303",103,"3,965",574,"5,163,154","85,394","60,462,730"
10,Iran,"215,096",,"10,130",,"175,103","29,863","2,899","2,561",121,"1,530,437","18,225","83,974,258"
11,Mexico,"202,951","6,104","25,060",736,"116,862","61,029",378,"1,574",194,"528,651","4,101","128,910,809"
12,Pakistan,"195,745","2,775","3,962",59,"84,168","107,615","2,765",887,18,"1,193,017","5,403","220,802,843"
13,Germany,"193,785",,"9,012",,"176,800","7,973",360,"2,313",108,"5,412,655","64,605","83,780,597"
14,Turkey,"193,115",,"5,046",,"165,706","22,363",941,"2,290",60,"3,135,424","37,183","84,324,246"
15,Saudi Arabia,"170,639",,"1,428",,"117,882","51,329","2,206","4,903",41,"1,479,759","42,517","34,803,660"
16,France,"161,348",,"29,752",,"75,351","56,245",651,"2,472",456,"1,384,633","21,213","65,271,779"
17,Bangladesh,"130,474","3,868","1,661",40,"53,133","75,680",1,792,10,"699,941","4,251","164,663,262"
18,South Africa,"118,375",,"2,292",,"59,974","56,109",539,"1,996",39,"1,460,012","24,623","59,295,764"
19,Canada,"102,622",,"8,504",,"65,425","28,693","2,077","2,719",225,"2,558,363","67,794","37,737,089"
20,Qatar,"91,838",,106,,"74,544","17,188",212,"32,708",38,"337,496","120,199","2,807,805"
21,China,"83,462",13,"4,634",,"78,439",389,8,58,3,"90,410,000","62,814","1,439,323,776"
22,Colombia,"80,599",,"2,654",,"33,349","44,596",335,"1,584",52,"670,093","13,172","50,874,063"
23,Sweden,"63,890",,"5,230",,N/A,N/A,193,"6,327",518,"444,607","44,028","10,098,382"
24,Egypt,"61,130",,"2,533",,"16,338","42,259",41,598,25,"135,000","1,320","102,294,701"
25,Belgium,"61,106",99,"9,731",5,"16,918","34,457",38,"5,273",840,"1,178,721","101,711","11,588,964"
26,Belarus,"60,382",,367,,"41,448","18,567",89,"6,390",39,"919,139","97,270","9,449,356"
27,Ecuador,"53,156",,"4,343",,"26,097","22,716",288,"3,014",246,"142,715","8,091","17,638,063"
28,Argentina,"52,457",,"1,150",,"14,788","36,519",457,"1,161",25,"309,601","6,851","45,189,339"
29,Indonesia,"51,427","1,240","2,683",63,"21,333","27,411",,188,10,"708,962","2,592","273,476,659"
30,Netherlands,"49,914",,"6,100",,N/A,N/A,48,"2,913",356,"570,699","33,307","17,134,417"
31,UAE,"46,563",,308,,"35,165","11,090",1,"4,709",31,"3,087,000","312,185","9,888,369"
32,Singapore,"42,955",219,26,,"36,604","6,325",1,"7,343",4,"684,359","116,991","5,849,659"
33,Kuwait,"42,788",,339,,"33,367","9,082",152,"10,022",79,"368,510","86,314","4,269,407"
34,Ukraine,"41,117","1,109","1,086",19,"18,299","21,732",378,940,25,"620,624","14,190","43,735,850"
35,Portugal,"40,415",,"1,549",,"26,382","12,484",67,"3,963",152,"1,102,066","108,078","10,196,990"
36,Iraq,"39,139",,"1,437",,"18,051","19,651",234,974,36,"488,803","12,159","40,202,198"
37,Oman,"36,034","1,132",153,9,"19,482","16,399",105,"7,061",30,"176,953","34,673","5,103,495"
38,Philippines,"34,073","1,004","1,224",12,"9,182","23,667",137,311,11,"647,804","5,913","109,555,334"
39,Poland,"33,395",276,"1,429",17,"19,218","12,748",77,882,38,"1,447,130","38,236","37,847,040"
40,Switzerland,"31,428",,"1,958",,"29,000",470,12,"3,632",226,"534,490","61,764","8,653,700"
41,Afghanistan,"30,451",276,683,8,"10,306","19,462",19,783,18,"69,558","1,788","38,908,595"
42,Dominican Republic,"29,141",,698,,"16,223","12,220",181,"2,687",64,"135,969","12,536","10,846,175"
43,Panama,"29,037",,564,,"14,800","13,673",130,"6,732",131,"117,266","27,186","4,313,482"
44,Bolivia,"28,503","1,016",913,37,"7,338","20,252",71,"2,442",78,"66,597","5,707","11,670,183"
45,Ireland,"25,405",,"1,727",,"23,364",314,9,"5,146",350,"411,335","83,319","4,936,874"
46,Romania,"25,286",,"1,565",,"17,906","5,815",199,"1,314",81,"663,558","34,491","19,238,670"
47,Bahrain,"24,081",,71,,"18,501","5,509",38,"14,167",42,"511,458","300,885","1,699,843"
48,Armenia,"23,247",759,410,13,"12,149","10,688",10,"7,845",138,"105,046","35,450","2,963,178"
49,Nigeria,"22,614",,549,,"7,822","14,243",7,110,3,"122,155",593,"206,018,227"
50,Israel,"22,400",,309,,"16,007","6,084",47,"2,435",34,"886,058","96,336","9,197,590"
51,Kazakhstan,"19,750",465,140,,"12,220","7,390",121,"1,052",7,"1,424,647","75,888","18,772,900"
52,Japan,"18,110",,968,,"16,320",822,58,143,8,"435,495","3,443","126,480,094"
53,Austria,"17,477",,698,,"16,320",459,11,"1,941",78,"590,442","65,563","9,005,691"
54,Guatemala,"15,619",800,623,22,"2,949","12,047",5,872,35,"31,427","1,755","17,908,815"
55,Ghana,"15,473",,95,,"11,431","3,947",6,498,3,"283,124","9,116","31,058,902"
56,Moldova,"15,453",,502,,"8,599","6,352",455,"3,831",124,"63,328","15,698","4,034,054"
57,Honduras,"15,366",795,426,9,"1,600","13,340",13,"1,552",43,"21,540","2,175","9,901,613"
58,Azerbaijan,"14,852",,180,,"8,059","6,613",66,"1,465",18,"449,235","44,313","10,137,767"
59,Serbia,"13,372",,264,,"12,154",954,24,"1,530",30,"366,380","41,931","8,737,685"
60,Denmark,"12,636",,603,,"11,460",573,9,"2,182",104,"981,082","169,387","5,791,944"
61,S. Korea,"12,602",39,282,,"11,172","1,148",15,246,6,"1,232,315","24,036","51,268,686"
62,Cameroon,"12,592",,313,,"10,100","2,179",52,475,12,,,"26,530,128"
63,Algeria,"12,445",,878,,"8,920","2,647",45,284,20,,,"43,835,093"
64,Morocco,"11,465",127,217,,"8,560","2,688",7,311,6,"602,362","16,323","36,903,169"
65,Nepal,"11,162",,26,,"2,650","8,486",,383,0.9,"487,600","16,741","29,126,271"
66,Czechia,"10,870",,345,,"7,649","2,876",13,"1,015",32,"532,987","49,771","10,708,746"
67,Sudan,"8,984",,556,,"3,806","4,622",,205,13,401,9,"43,825,738"
68,Norway,"8,788",,249,,"8,138",401,6,"1,621",46,"313,162","57,772","5,420,613"
69,Malaysia,"8,606",6,121,,"8,294",191,2,266,4,"716,178","22,132","32,358,787"
70,Ivory Coast,"8,334",,60,,"3,487","4,787",,316,2,"49,352","1,872","26,362,766"
71,Australia,"7,595",37,104,,"6,958",533,1,298,4,"2,274,081","89,197","25,494,924"
72,Uzbekistan,"7,228",51,20,,"4,877","2,331",26,216,0.6,"1,038,575","31,039","33,460,342"
73,Finland,"7,191",19,327,,"6,600",264,2,"1,298",59,"235,500","42,504","5,540,620"
74,DRC,"6,411",,142,,885,"5,384",,72,2,,,"89,488,318"
75,Senegal,"6,233",,94,,"4,162","1,977",24,372,6,"73,097","4,368","16,733,069"
76,Tajikistan,"5,691",,52,,"4,267","1,372",,597,5,,,"9,532,826"
77,North Macedonia,"5,595",,265,,"2,166","3,164",55,"2,686",127,"55,735","26,752","2,083,375"
78,Haiti,"5,543",114,96,4,512,"4,935",,486,8,"10,825",950,"11,400,155"
79,El Salvador,"5,517",181,133,7,"3,291","2,093",137,851,21,"152,729","23,548","6,485,766"
80,Kenya,"5,384",,132,,"1,857","3,395",7,100,2,"155,314","2,890","53,744,928"
81,Ethiopia,"5,175",,81,,"1,544","3,550",30,45,0.7,"232,050","2,020","114,895,969"
82,Guinea,"5,174",,29,,"3,861","1,284",24,394,2,"14,407","1,098","13,123,878"
83,Gabon,"5,087",,40,,"2,270","2,777",10,"2,287",18,"33,655","15,129","2,224,520"
84,Djibouti,"4,635",,52,,"4,269",314,,"4,693",53,"45,810","46,379","987,737"
85,Venezuela,"4,563",,39,,"1,327","3,197",9,160,1,"1,176,146","41,360","28,436,705"
86,Bulgaria,"4,408",,211,,"2,370","1,827",16,634,30,"128,293","18,463","6,948,822"
87,Kyrgyzstan,"4,204",250,43,,"2,162","1,999",30,645,7,"199,853","30,642","6,522,115"
88,Luxembourg,"4,151",,110,,"3,968",73,1,"6,633",176,"156,089","249,430","625,782"
89,Hungary,"4,127",4,578,1,"2,663",886,13,427,60,"267,056","27,644","9,660,587"
90,Bosnia and Herzegovina,"3,796",,175,,"2,322","1,299",4,"1,157",53,"87,418","26,644","3,280,979"
91,Mauritania,"3,739",,119,,"1,225","2,395",21,805,26,"13,842","2,979","4,646,655"
92,Greece,"3,321",,191,,"1,374","1,756",9,319,18,"295,639","28,363","10,423,486"
93,CAR,"3,244",,40,,607,"2,597",2,672,8,"22,267","4,612","4,828,105"
94,Thailand,"3,162",4,58,,"3,040",64,1,45,0.8,"468,175","6,708","69,797,852"
95,French Guiana,"3,033",,10,,"1,096","1,927",15,"10,161",34,"8,061","27,006","298,493"
96,Somalia,"2,878",,90,,868,"1,920",2,181,6,,,"15,881,934"
97,Costa Rica,"2,684",,12,,"1,227","1,445",6,527,2,"37,645","7,391","5,093,397"
98,Mayotte,"2,508",,32,,"2,218",258,8,"9,198",117,"8,800","32,275","272,661"
99,Croatia,"2,483",,107,,"2,149",227,,605,26,"74,657","18,185","4,105,466"
