state,date,cum_cases,cum_deaths
Nebraska,2020-02-25,338,8
Florida,2020-03-13,490,24
New York,2020-03-13,421,0
Michigan,2020-03-16,378,15
Florida,2020-03-17,210,6
New Jersey,2020-03-17,268,3
Massachusetts,2020-03-18,512,12
New Jersey,2020-03-18,427,5
New York,2020-03-18,2387,32
Illinois,2020-03-19,420,4
Michigan,2020-03-21,1574,17
New Jersey,2020-03-21,1336,16
Florida,2020-03-22,1000,13
Rhode Island,2020-03-22,166,0
Indiana,2020-03-23,528,19
Michigan,2020-03-23,1324,16
Washington,2020-03-23,4202,170
Indiana,2020-03-24,371,17
Missouri,2020-03-24,510,11
Oregon,2020-03-24,209,8
Wisconsin,2020-03-25,1246,24
California,2020-03-26,4060,82
Florida,2020-03-26,2477,29
Indiana,2020-03-26,1322,40
Michigan,2020-03-26,5754,117
West Virginia,2020-03-26,304,18
Montana,2020-03-27,242,3
Illinois,2020-03-28,3547,50
Kentucky,2020-03-28,788,16
Ohio,2020-03-28,1406,25
Arizona,2020-03-29,3716,120
Iowa,2020-03-29,336,4
New Jersey,2020-03-29,13386,161
Wisconsin,2020-03-30,1267,20
New Jersey,2020-03-31,18696,267
New York,2020-03-31,76211,1929
Washington,2020-03-31,5293,226
New Jersey,2020-04-01,22255,355
Ohio,2020-04-01,2547,65
Oregon,2020-04-01,736,19
Tennessee,2020-04-01,2689,23
Nevada,2020-04-02,1458,38
Colorado,2020-04-03,4182,110
District of Columbia,2020-04-03,757,15
Hawaii,2020-04-03,634,10
New York,2020-04-03,103651,3716
Puerto Rico,2020-04-03,756,23
Vermont,2020-04-04,922,36
Rhode Island,2020-04-06,1082,27
Wisconsin,2020-04-06,2440,83
Idaho,2020-04-07,1210,15
Hawaii,2020-04-08,1299,27
Massachusetts,2020-04-10,20974,599
Nevada,2020-04-10,5212,186
Texas,2020-04-12,13776,288
Vermont,2020-04-12,727,26
Illinois,2020-04-13,22025,800
Kentucky,2020-04-13,2048,106
Michigan,2020-04-13,25487,1601
Nebraska,2020-04-13,870,19
Rhode Island,2020-04-13,2976,73
New York,2020-04-14,205375,14001
Mississippi,2020-04-15,3360,122
Missouri,2020-04-15,4895,164
Colorado,2020-04-16,8675,374
Georgia,2020-04-16,15644,611
Massachusetts,2020-04-16,32181,1245
South Carolina,2020-04-16,3931,109
Arizona,2020-04-17,4507,174
Delaware,2020-04-17,2323,61
Louisiana,2020-04-17,23118,1213
Rhode Island,2020-04-17,12531,211
Iowa,2020-04-18,2513,74
Minnesota,2020-04-18,4426,132
Arkansas,2020-04-19,1781,39
Iowa,2020-04-19,2915,75
Kentucky,2020-04-19,2960,149
Guam,2020-04-20,811,6
Florida,2020-04-21,27861,866
Massachusetts,2020-04-21,41199,1961
Pennsylvania,2020-04-21,35384,1620
Wyoming,2020-04-21,882,14
Missouri,2020-04-22,12274,554
Montana,2020-04-23,442,14
New Jersey,2020-04-23,99989,5368
California,2020-04-24,41368,1619
District of Columbia,2020-04-24,3528,153
Oregon,2020-04-24,2177,86
Pennsylvania,2020-04-24,40298,1786
Arizona,2020-04-25,6280,275
Indiana,2020-04-25,14556,897
Iowa,2020-04-25,5109,112
Nebraska,2020-04-25,2898,52
Alabama,2020-04-26,6421,219
North Carolina,2020-04-26,8830,309
Delaware,2020-04-27,4162,125
Kansas,2020-04-27,3406,126
Louisiana,2020-04-27,27111,1740
Nevada,2020-04-27,9416,459
North Carolina,2020-04-27,9035,331
Maine,2020-04-28,1040,51
Massachusetts,2020-04-28,58302,3153
Mississippi,2020-04-28,6342,239
Rhode Island,2020-04-28,7926,239
Nevada,2020-04-30,5053,243
New York,2020-04-30,309696,23616
Rhode Island,2020-05-01,8962,279
Virginia,2020-05-01,16901,581
California,2020-05-02,53753,2213
Maine,2020-05-02,2304,62
New Jersey,2020-05-02,123717,7742
